x,t,u
0.0,0.084493,0.154925
0.0,0.095096,0.145086
0.0,0.132103,0.154219
0.0,0.137408,0.127611
0.0,0.139768,0.137804
0.0,0.477877,0.083145
0.0,0.48091,0.099546
0.0,0.532722,0.08109
0.0,0.535435,0.022716
0.0,0.593682,0.067092
0.0,0.61438,0.059972
0.0,0.632918,0.064679
1.0,0.012303,0.037355
1.0,0.087709,0.028326
1.0,0.117104,0.045819
1.0,0.118479,0.039205
1.0,0.119734,0.055685
1.0,0.121922,0.08093
1.0,0.147783,0.087582
1.0,0.157612,0.083697
1.0,0.270535,0.037813
1.0,0.552993,-0.055534
1.0,0.588258,-0.012437
1.0,0.599593,-0.023976
